2022-07-16T14:40:10.408706100 : Item  REMOVED.
2022-07-16T14:40:35.604027300 : Item  REMOVED.
2022-07-16T14:48:19.484649100 : Item  REMOVED.
2022-07-16T14:54:53.505326300 : Item  REMOVED.
2022-07-16T15:00:32.465991800 : Item  REMOVED.
2022-07-16T15:18:17.706609600 : Item 1 REMOVED.
2022-07-16T17:39:23.912015600 : Item 1 REMOVED.
2022-07-16T17:50:07.228838500 : Item 1 REMOVED.
2022-07-18T21:04:43.550842100 : Item 2 REMOVED.
2022-07-18T21:11:36.065709300 : Item 3 REMOVED.
2022-07-18T21:58:56.080995800 : Item 1 REMOVED.
2022-07-18T21:59:54.614953100 : Item 3 REMOVED.
2022-07-18T22:00:24.045891200 : Item 3 REMOVED.
2022-07-18T22:06:18.029644400 : Item 1 REMOVED.
2022-07-22T18:35:29.893587600 : Item 1 REMOVED.
2022-07-22T18:42:40.240929800 : Item 1 REMOVED.
2022-07-22T18:48:58.858750600 : Item 1 REMOVED.
2022-07-22T18:51:31.128304400 : Item 3 REMOVED.
2022-07-22T18:54:47.869356800 : Item 4 REMOVED.
2022-07-22T18:58:23.955512800 : Item 4 REMOVED.
